suite,lora_rank,batch_size,variant,max_ok_context,first_failed_context,ok_rows,failed_rows
rank_sensitivity,4,8,cce,2048,4096,3,1
rank_sensitivity,4,8,default,1024,2048,2,2
rank_sensitivity,4,16,cce,1024,2048,2,2
rank_sensitivity,4,16,default,512,1024,1,3
rank_sensitivity,4,32,cce,1024,2048,2,2
rank_sensitivity,4,32,default,0,512,0,4
rank_sensitivity,4,64,cce,512,1024,1,3
rank_sensitivity,4,64,default,0,512,0,4
rank_sensitivity,16,8,cce,2048,4096,3,1
rank_sensitivity,16,8,default,1024,2048,2,2
rank_sensitivity,16,16,cce,1024,2048,2,2
rank_sensitivity,16,16,default,512,1024,1,3
rank_sensitivity,16,32,cce,1024,2048,2,2
rank_sensitivity,16,32,default,0,512,0,4
rank_sensitivity,16,64,cce,512,1024,1,3
rank_sensitivity,16,64,default,0,512,0,4
rank_sensitivity,64,8,cce,2048,4096,3,1
rank_sensitivity,64,8,default,1024,2048,2,2
rank_sensitivity,64,16,cce,1024,2048,2,2
rank_sensitivity,64,16,default,512,1024,1,3
rank_sensitivity,64,32,cce,1024,2048,2,2
rank_sensitivity,64,32,default,0,512,0,4
rank_sensitivity,64,64,cce,512,1024,1,3
rank_sensitivity,64,64,default,0,512,0,4
