mesh,mesh_fsdp,mesh_tp,batch_size,max_length,final_loss_cce,final_loss_default,mean_step_time_sec_excl_first_cce,mean_step_time_sec_excl_first_default,xla_train_step_gib_per_chip_cce,xla_train_step_gib_per_chip_default,xla_reduction_pct,step_time_multiplier_cce_vs_default,step_time_overhead_pct
fsdp1/tp4,1,4,16,512,1.7472894191741943,1.7723098993301392,21.0585802745,18.792417002000008,1.64,3.47,52.73775216138329,1.1205892393862276,12.058923938622756
fsdp1/tp4,1,4,16,1024,1.793480396270752,1.7329024076461792,25.177284664000013,21.095461785999987,3.06,6.86,55.39358600583091,1.1934929379317465,19.34929379317465
fsdp1/tp4,1,4,16,2048,1.7926384210586548,1.7713359594345093,31.594434007500013,20.48805337700003,6.82,14.56,53.15934065934066,1.5420905747428426,54.209057474284265
fsdp1/tp4,1,4,32,512,1.8111454248428345,1.8295267820358276,25.297176239500004,21.065043447999983,2.77,6.59,57.96661608497724,1.2009078595991143,20.09078595991143
fsdp1/tp4,1,4,32,1024,1.7242201566696167,1.7325314283370972,30.726576659499983,22.790975570999876,5.69,13.48,57.7893175074184,1.3481904960048168,34.81904960048168
fsdp1/tp4,1,4,32,2048,1.7494406700134275,,35.892646261499976,,13.17,,,,
fsdp1/tp4,1,4,64,512,1.6134312152862549,1.5866206884384155,31.805787891499904,23.11016931649988,5.12,12.97,60.524286815728615,1.3762680600003931,37.626806000039316
fsdp1/tp4,1,4,64,1024,1.5832706689834597,,35.90940140199996,,10.92,,,,
fsdp2/tp2,2,2,16,512,1.8621981143951416,1.775262713432312,15.405650097500027,0.1921255019999819,2.65,6.23,57.46388443017657,80.1853472710847,7918.534727108469
fsdp2/tp2,2,2,16,1024,1.8621981143951416,1.7612556219100952,30.783754365999982,0.3521678795000298,5.13,12.66,59.478672985782,87.41215811533822,8641.21581153382
fsdp2/tp2,2,2,16,2048,1.8555989265441897,,61.57944023150003,,12.03,,,,
fsdp2/tp2,2,2,32,512,1.7209855318069458,1.8226641416549685,30.772603258499885,0.3446931219999669,4.56,12.11,62.34516928158547,89.27536203783852,8827.536203783851
fsdp2/tp2,2,2,32,1024,1.7296665906906128,,61.54140575400004,,9.54,,,,
fsdp2/tp2,2,2,64,512,1.6130321025848389,,61.51639675699994,,8.87,,,,
fsdp4/tp1,4,1,16,512,1.7673044204711914,1.790918469429016,0.4134148905000074,0.2382217615000001,3.85,11.29,65.89902568644818,1.735420340681207,73.5420340681207
fsdp4/tp1,4,1,16,1024,1.7360001802444458,,0.8320141254999385,,7.49,,,,
fsdp4/tp1,4,1,32,512,1.8060566186904907,,0.8115636465000193,,6.29,,,,
fsdp4/tp1,4,1,32,1024,1.797986626625061,,1.6824065719999908,,14.12,,,,
fsdp4/tp1,4,1,64,512,1.6390396356582642,,1.626602794000064,,12.39,,,,
