mesh,mesh_fsdp,mesh_tp,shape,batch_size,max_length,repeats,mean_xla_reduction_pct,std_xla_reduction_pct,mean_step_time_multiplier,std_step_time_multiplier,min_step_time_multiplier,max_step_time_multiplier,mean_default_step_s,mean_cce_step_s
fsdp1/tp4,1,4,b16/L512,16,512,3,52.73775216138329,0.0,1.3662443803163207,0.012493952423171131,1.3518252078083235,1.3738594851160488,5.4095213228095504,7.390326200047639
fsdp1/tp4,1,4,b16/L1024,16,1024,3,55.39358600583091,0.0,1.6308155460072953,0.004583961594706222,1.6258677873815364,1.6349180650402058,6.1318196059523435,9.999865092761887
fsdp1/tp4,1,4,b32/L512,32,512,3,57.96661608497724,0.0,1.6260709207854875,0.013373080771790799,1.6171748271379731,1.6414498380087066,6.1269885088095615,9.962574951142914
fsdp1/tp4,1,4,b32/L1024,32,1024,3,57.78931750741841,0.0,2.1631967855734127,0.01626210508808338,2.1467015117655017,2.179215234429629,6.6496846937618885,14.38416429966667
fsdp2/tp2,2,2,b16/L512,16,512,3,57.46388443017657,0.0,96.99784182279579,0.1582495991089872,96.81548281027622,97.099112341533,0.15849559476195155,15.373703389952391
fsdp2/tp2,2,2,b16/L1024,16,1024,3,59.478672985782,0.0,96.28891624206392,0.11378141980472035,96.16296418852006,96.38426929230687,0.3193618251905344,30.750975743142874
fsdp2/tp2,2,2,b32/L512,32,512,3,62.34516928158547,0.0,99.34971798876596,0.032153550912734884,99.32630827623736,99.38637960475171,0.30940290133324716,30.739088803380895
fsdp2/tp2,2,2,b32/L1024,32,1024,3,,,,,,,,61.50886640666676
fsdp4/tp1,4,1,b16/L512,16,512,3,65.89902568644818,0.0,1.8298463668731284,0.0007733367378568006,1.829007804583735,1.8305314668945523,0.21221416290476433,0.3883192337142581
fsdp4/tp1,4,1,b16/L1024,16,1024,3,,,,,,,,0.807836751238077
fsdp4/tp1,4,1,b32/L512,32,512,3,,,,,,,,0.7864911096666697
fsdp4/tp1,4,1,b32/L1024,32,1024,3,,,,,,,,1.658158050523812
