dataset,model_id,batch_size,max_length,examples,valid_tokens,trainable_loss_tokens,unpacked_rows,packed_rows,row_reduction_x,unpacked_fixed_capacity_tokens,unpacked_dynamic_capacity_tokens,unpacked_fixed_valid_ratio,unpacked_dynamic_valid_ratio,packed_valid_ratio,packed_valid_ratio_rounded,packed_vs_fixed_density_gain_x,packed_vs_dynamic_density_gain_x,packing_seconds
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,8,256,5000,291292,107275,5000,1156,4.325259515570934,1280000,624152,0.227571875,0.46670041912867377,0.9843074178200693,0.9809132543103448,4.325259515570934,2.1090776384083045,0.23978524992708117
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,16,256,5000,291292,107275,5000,1156,4.325259515570934,1282048,754488,0.22720834165335463,0.3860790363796376,0.9843074178200693,0.9741946703767124,4.332179930795848,2.549497188581315,0.24011920799966902
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,32,256,5000,291292,107275,5000,1156,4.325259515570934,1286144,898152,0.22648474820859874,0.32432372248795305,0.9843074178200693,0.9610298775337838,4.346020761245675,3.0349535034602075,0.24134858301840723
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,64,256,5000,291292,107275,5000,1156,4.325259515570934,1294336,1026408,0.22505130043512658,0.2837974762472623,0.9843074178200693,0.9357396175986842,4.373702422145329,3.468344506920415,0.24282237503211945
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,8,512,5000,293899,109621,5000,580,8.620689655172415,2560000,645008,0.114804296875,0.4556517128469724,0.9896922144396552,0.9829135006421232,8.620689655172413,2.1720366379310345,0.1473864580038935
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,16,512,5000,293899,109621,5000,580,8.620689655172415,2564096,793176,0.11462090342951278,0.3705344085045438,0.9896922144396552,0.969630885768581,8.63448275862069,2.67098599137931,0.21286016702651978
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,32,512,5000,293899,109621,5000,580,8.620689655172415,2572288,973256,0.11425586870521497,0.30197501993309056,0.9896922144396552,0.9441142835115132,8.662068965517241,3.277397629310345,0.14379124995321035
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,64,512,5000,293899,109621,5000,580,8.620689655172415,2588672,1172712,0.11353273029568829,0.2506148142084331,0.9896922144396552,0.8969085693359375,8.717241379310344,3.949057112068965,0.144342708052136
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,8,1024,5000,294204,109674,5000,289,17.301038062283737,5120000,647448,0.05746171875,0.4544056047744375,0.9941473832179931,0.9706371410472973,17.301038062283737,2.1877973615916955,0.09764887497294694
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,16,1024,5000,294204,109674,5000,289,17.301038062283737,5128192,798056,0.05736992686701278,0.36865082149623585,0.9941473832179931,0.9450940583881579,17.32871972318339,2.696718209342561,0.09627345902845263
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,32,1024,5000,294204,109674,5000,289,17.301038062283737,5144576,983016,0.057187220093550956,0.2992870919700188,0.9941473832179931,0.89783935546875,17.3840830449827,3.321718209342561,0.09886645805090666
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,64,1024,5000,294204,109674,5000,289,17.301038062283737,5177344,1192232,0.05682527566257911,0.24676740768575245,0.9941473832179931,0.89783935546875,17.494809688581316,4.028681877162629,0.0963325829943642
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,8,2048,5000,294204,109674,5000,144,34.72222222222222,10240000,647448,0.028730859375,0.4544056047744375,0.9975992838541666,0.9975992838541666,34.72222222222222,2.1953938802083335,0.07380349992308766
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,16,2048,5000,294204,109674,5000,144,34.72222222222222,10256384,798056,0.02868496343350639,0.36865082149623585,0.9975992838541666,0.9975992838541666,34.77777777777777,2.706081814236111,0.07481274998281151
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,32,2048,5000,294204,109674,5000,144,34.72222222222222,10289152,983016,0.028593610046775478,0.2992870919700188,0.9975992838541666,0.89783935546875,34.888888888888886,3.333251953125,0.07402887498028576
opus100-en-fr-gemma-tokenizer,google/gemma-3-270m-it,64,2048,5000,294204,109674,5000,144,34.72222222222222,10354688,1192232,0.028412637831289556,0.24676740768575245,0.9975992838541666,0.748199462890625,35.111111111111114,4.042670355902778,0.07291637500748038
