chip_count,tpu,dataset_mode,dataset_label,batch_size,max_length,unpacked_status,packed_status,unpacked_density,packed_density,unpacked_loss_tokens_per_sec,packed_loss_tokens_per_sec,throughput_gain_x,unpacked_xla_gib_per_chip,packed_xla_gib_per_chip
1,v5litepod-1,alpaca,Alpaca,4,512,ok,ok,0.18158980309247397,0.9900533328789531,2644.8570049885757,21671.767041715517,8.193927687145084,8.4,8.4
1,v5litepod-1,alpaca,Alpaca,4,1024,failed,failed,nan,nan,nan,nan,nan,16.15,16.15
1,v5litepod-1,alpaca,Alpaca,4,2048,failed,failed,nan,nan,nan,nan,nan,45.4,45.41
1,v5litepod-1,alpaca,Alpaca,8,512,ok,ok,0.18142230694110578,0.9900533328789531,2110.146409067643,16511.504981105372,7.824814861259267,14.32,14.32
1,v5litepod-1,alpaca,Alpaca,8,1024,failed,failed,nan,nan,nan,nan,nan,31.0,31.01
1,v5litepod-1,alpaca,Alpaca,8,2048,failed,failed,nan,nan,nan,nan,nan,89.46,89.48
1,v5litepod-1,oasst1,OASST1,4,512,ok,ok,0.4094567744377163,0.9974688569641916,8344.004939856633,23330.330308371653,2.7960590239981946,8.4,8.4
1,v5litepod-1,oasst1,OASST1,4,1024,failed,failed,nan,nan,nan,nan,nan,16.15,16.15
1,v5litepod-1,oasst1,OASST1,4,2048,failed,failed,nan,nan,nan,nan,nan,45.4,45.41
1,v5litepod-1,oasst1,OASST1,8,512,ok,ok,0.4094567744377163,0.9974688569641916,6498.368785485561,18143.33524038453,2.7919830097837166,14.32,14.32
1,v5litepod-1,opus100,OPUS100,4,512,ok,ok,0.12746408063951162,0.9891395331909938,660.9468513731962,14041.398685254793,21.244368826452696,8.4,8.4
1,v5litepod-1,opus100,OPUS100,4,1024,failed,failed,nan,nan,nan,nan,nan,16.15,16.15
1,v5litepod-1,opus100,OPUS100,4,2048,failed,failed,nan,nan,nan,nan,nan,45.4,45.41
1,v5litepod-1,opus100,OPUS100,8,512,ok,ok,0.12749344263321313,0.9891395331909938,521.294037333734,10261.69139668346,19.685035050792063,14.32,14.32
1,v5litepod-1,opus100,OPUS100,8,1024,failed,failed,nan,nan,nan,nan,nan,31.0,31.01
1,v5litepod-1,opus100,OPUS100,8,2048,failed,failed,nan,nan,nan,nan,nan,89.46,89.48
4,v5litepod-4,alpaca,Alpaca,4,1024,ok,ok,0.090912890625,0.9946705757658644,635.4671894873043,8567.707419273676,13.482533104795094,13.4,13.41
4,v5litepod-4,alpaca,Alpaca,4,2048,failed,failed,nan,nan,nan,nan,nan,43.98,43.99
4,v5litepod-4,alpaca,Alpaca,8,1024,failed,failed,nan,nan,nan,nan,nan,30.99,31.0
4,v5litepod-4,alpaca,Alpaca,8,2048,failed,failed,nan,nan,nan,nan,nan,89.33,89.36
4,v5litepod-4,oasst1,OASST1,4,1024,ok,ok,0.23444079815718022,0.9988878735539846,1933.2347365575333,9256.948334030014,4.788320920879815,13.4,13.41
4,v5litepod-4,oasst1,OASST1,4,2048,failed,failed,nan,nan,nan,nan,nan,43.98,43.99
4,v5litepod-4,opus100,OPUS100,4,1024,ok,ok,0.06410703125,0.9923689047987616,131.65801770027136,5596.709038837342,42.50944330316927,13.4,13.41
4,v5litepod-4,opus100,OPUS100,4,2048,failed,failed,nan,nan,nan,nan,nan,43.98,43.99
4,v5litepod-4,opus100,OPUS100,8,1024,failed,failed,nan,nan,nan,nan,nan,30.99,31.0
4,v5litepod-4,opus100,OPUS100,8,2048,failed,failed,nan,nan,nan,nan,nan,89.33,89.36
