model,model_label,model_id,context_length,policy,policy_label,status,xla_peak_hbm_gib_per_chip,xla_peak_hbm_gib_aggregate,hbm_limit_gib_per_chip,hbm_limit_gib_aggregate,headroom_gib_per_chip,step_time_sec,final_loss,tpu_type,chips,mesh_fsdp,mesh_tp,batch_size,lora_rank,ce_enabled,tiled_mlp_enabled,splash_attention_requested,splash_attention_installed,activation_policy_installed,dense_attention_evidence_in_oom_log,resource_exhausted,run_dir
270m,Gemma3 270M,google/gemma-3-270m-it,8192,none,No offload,ok,12.664788722991943,12.664788722991943,15.748046398162842,15.748046398162842,3.0832576751708984,26.493429918999993,3.973423480987549,v5litepod-1,1,1,1,1,16,True,True,True,True,False,False,False,/Users/deep-diver/Developers/TUNIX-TRY/04-ACTIVATION-POLICY/results/small-model-splash-activation-ablation/270m/270m_l8192_none_fsdp1
270m,Gemma3 270M,google/gemma-3-270m-it,8192,split_offload,Split offload,ok,8.105790615081787,8.105790615081787,15.748046398162842,15.748046398162842,7.642255783081055,34.59358659700001,3.977783203125,v5litepod-1,1,1,1,1,16,True,True,True,True,True,False,False,/Users/deep-diver/Developers/TUNIX-TRY/04-ACTIVATION-POLICY/results/small-model-splash-activation-ablation/270m/270m_l8192_split_offload_fsdp1
270m,Gemma3 270M,google/gemma-3-270m-it,16384,none,No offload,compile_oom,22.805967330932617,22.805967330932617,15.75,15.75,-7.055967330932617,,,v5litepod-1,1,1,1,1,16,True,True,True,,False,True,True,/Users/deep-diver/Developers/TUNIX-TRY/04-ACTIVATION-POLICY/results/small-model-splash-activation-ablation/270m/270m_l16384_none_fsdp1
270m,Gemma3 270M,google/gemma-3-270m-it,16384,split_offload,Split offload,ok,11.335439682006836,11.335439682006836,15.748046398162842,15.748046398162842,4.412606716156006,35.795314389000055,3.977783203125,v5litepod-1,1,1,1,1,16,True,True,True,True,True,False,False,/Users/deep-diver/Developers/TUNIX-TRY/04-ACTIVATION-POLICY/results/small-model-splash-activation-ablation/270m/270m_l16384_split_offload_fsdp1
270m,Gemma3 270M,google/gemma-3-270m-it,32768,none,No offload,compile_oom,42.39490842819214,42.39490842819214,15.75,15.75,-26.64490842819214,,,v5litepod-1,1,1,1,1,16,True,True,True,,False,True,True,/Users/deep-diver/Developers/TUNIX-TRY/04-ACTIVATION-POLICY/results/small-model-splash-activation-ablation/270m/270m_l32768_none_fsdp1
270m,Gemma3 270M,google/gemma-3-270m-it,32768,split_offload,Split offload,compile_oom,23.17183256149292,23.17183256149292,15.75,15.75,-7.42183256149292,,,v5litepod-1,1,1,1,1,16,True,True,True,,True,True,True,/Users/deep-diver/Developers/TUNIX-TRY/04-ACTIVATION-POLICY/results/small-model-splash-activation-ablation/270m/270m_l32768_split_offload_fsdp1
1b,Gemma3 1B,google/gemma-3-1b-it,8192,none,No offload,ok,15.552018642425537,62.20807456970215,15.748044967651367,62.99217987060547,0.19602632522583008,31.27264296300001,2.2181339263916016,v5litepod-4,4,4,1,1,16,True,True,True,True,False,False,False,/Users/deep-diver/Developers/TUNIX-TRY/04-ACTIVATION-POLICY/results/small-model-splash-activation-ablation/1b/1b_l8192_none_fsdp4
1b,Gemma3 1B,google/gemma-3-1b-it,8192,split_offload,Split offload,ok,15.684247493743896,62.736989974975586,15.748044967651367,62.99217987060547,0.0637974739074707,43.32466015,2.2163732051849365,v5litepod-4,4,4,1,1,16,True,True,True,True,True,False,False,/Users/deep-diver/Developers/TUNIX-TRY/04-ACTIVATION-POLICY/results/small-model-splash-activation-ablation/1b/1b_l8192_split_offload_fsdp4
1b,Gemma3 1B,google/gemma-3-1b-it,16384,none,No offload,compile_oom,24.067373275756836,96.26949310302734,15.75,63.0,-8.317373275756836,,,v5litepod-4,4,4,1,1,16,True,True,True,,False,True,True,/Users/deep-diver/Developers/TUNIX-TRY/04-ACTIVATION-POLICY/results/small-model-splash-activation-ablation/1b/1b_l16384_none_fsdp4
1b,Gemma3 1B,google/gemma-3-1b-it,16384,split_offload,Split offload,compile_oom,21.818464279174805,87.27385711669922,15.75,63.0,-6.068464279174805,,,v5litepod-4,4,4,1,1,16,True,True,True,,True,True,True,/Users/deep-diver/Developers/TUNIX-TRY/04-ACTIVATION-POLICY/results/small-model-splash-activation-ablation/1b/1b_l16384_split_offload_fsdp4
1b,Gemma3 1B,google/gemma-3-1b-it,32768,none,No offload,compile_oom,68.25186491012573,273.00745964050293,15.75,63.0,-52.50186491012573,,,v5litepod-4,4,4,1,1,16,True,True,True,,False,True,True,/Users/deep-diver/Developers/TUNIX-TRY/04-ACTIVATION-POLICY/results/small-model-splash-activation-ablation/1b/1b_l32768_none_fsdp4
1b,Gemma3 1B,google/gemma-3-1b-it,32768,split_offload,Split offload,compile_oom,80.23042345046997,320.9216938018799,15.75,63.0,-64.48042345046997,,,v5litepod-4,4,4,1,1,16,True,True,True,,True,True,True,/Users/deep-diver/Developers/TUNIX-TRY/04-ACTIVATION-POLICY/results/small-model-splash-activation-ablation/1b/1b_l32768_split_offload_fsdp4
